UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,2,53,Pr100258,Android,Pr100258,0,0
U100003,1,2,1021,Pr100079,Windows,Pr100079,1,2
U100004,1,15,341,Pr101505,Windows,Pr100069,1,0
U100005,1,3,681,Pr100234,Android,Pr100234,1,0
U100006,1,1,55,Pr101111,Android,Pr101111,1,0
U100007,0,0,460,Product101,Windows,Pr100265,0,0
U100008,6,17,395,Pr100184,Android,Pr100962,21,23
U100009,4,10,78,Pr100167,Android,Pr100640,4,4
U100012,2,5,124,Pr100055,Mac OS X,Pr100055,6,14
U100013,3,3,1687,Pr100177,Mac OS X,Pr100134,5,3
U100014,2,4,155,Pr100578,Windows,Pr100126,1,2
U100015,1,4,659,Pr100044,Android,Pr100095,3,8
U100016,1,1,114,Pr100172,Android,Pr100172,1,0
U100017,1,1,45,Product101,Windows,Product101,0,0
U100018,5,3,44,Pr100403,Windows,Pr100403,7,21
U100019,3,7,317,Pr100179,Windows,Pr100040,5,15
U100020,0,2,163,Pr100017,Mac OS X,Pr100017,0,0
U100023,5,3,437,Pr100181,Windows,Pr100181,6,0
U100024,1,1,85,Pr100025,Android,Pr100025,2,1
U100025,0,0,129,Product101,Windows,Pr100240,0,0
U100026,3,2,68,Pr100153,Windows,Pr100153,1,2
U100027,6,41,2257,Pr102905,Windows,Pr100722,15,36
U100028,0,1,126,Product101,Android,Pr100185,0,0
U100029,1,2,574,Pr100301,Mac OS X,Pr100301,1,1
U100030,3,6,104,Pr100591,Mac OS X,Pr100316,2,4
U100031,4,11,414,Pr100097,Windows,Pr100097,8,61
U100032,3,9,105,Pr100662,Windows,Pr100268,4,205
U100033,0,0,84,Product101,Android,Pr100172,0,0
U100034,5,83,453,Pr100633,Windows,Pr100812,99,37
U100035,0,0,73,Product101,Android,Pr100633,0,0
U100036,2,5,111,Pr100123,Windows,Pr100123,3,11
U100038,2,10,134,Pr100072,iOS,Pr101800,11,11
U100039,0,2,2257,Pr100047,Mac OS X,Pr100047,0,0
U100040,3,4,335,Pr100513,Windows,Pr100513,5,3
U100042,0,0,64,Product101,Windows,Product101,0,0
